IDG Capital,Lianshang,Series C,2017-07-12
IDG Capital,SenseTime,Series B,2017-07-11
IDG Capital,Chengjia Apartment,Seed,2017-07-10
IDG Capital,Terminus Technologies,Series A,2017-07-05
IDG Capital,RELX Technology,Angel,2017-06-27
IDG Capital,Castbox,Series A,2017-06-01
IDG Capital,Particle Media,Series B,2017-05-11
IDG Capital,MagMode,Series B,2017-05-05
IDG Capital,SpeakIn,Series A,2017-05-01
IDG Capital,Live.me,Venture - Series Unknown,2017-05-01
IDG Capital,HeyTea,Series A,2017-04-14
IDG Capital,Shuidi,Angel,2017-04-10
IDG Capital,YCloset,Series B,2017-03-21
IDG Capital,Allied Data (ZMT Alliance),Series B,2017-03-20
IDG Capital,NIO,Series C,2017-03-16
IDG Capital,Zmeng Network Technology (ZMT),Series B,2017-03-01
IDG Capital,Anxin Doctor,Series B,2017-02-22
IDG Capital,iQiyi,Series G,2017-02-21
IDG Capital,Akulaku,Series A,2017-02-15
IDG Capital,Arraiy,Seed,2017-01-17
IDG Capital,Hsuanzhang,Series A,2016-12-29
IDG Capital,Hunan Ocean Wing E-Commerce,Venture - Series Unknown,2016-12-21
IDG Capital,Lefit,Series B,2016-12-20
IDG Capital,High Fidelity,Venture - Series Unknown,2016-12-12
IDG Capital,Wusong Technology,Series B,2016-12-05
IDG Capital,Tangdou,Series B,2016-11-25
IDG Capital,MagMode,Venture - Series Unknown,2016-11-25
IDG Capital,Kr Space,Series B,2016-11-02
IDG Capital,Rokid,Series B,2016-11-01
IDG Capital,Shanghai Film Art Academy,Venture - Series Unknown,2016-09-05
IDG Capital,HunterOn,Series C,2016-08-31
IDG Capital,Pinduoduo,Series B,2016-07-20
IDG Capital,Castbox,Seed,2016-07-01
IDG Capital,OlymTech Corporation,Series B,2016-06-30
IDG Capital,LUX,Series A,2016-06-07
IDG Capital,Black Lake Technologies,Angel,2016-06-06
IDG Capital,Qingsongchou Network Technology,Series B,2016-06-03
IDG Capital,Lianshang,Series B,2016-06-01
IDG Capital,BloomSky,Seed,2016-05-23
IDG Capital,Kingsoft Cloud,Series C,2016-05-16
IDG Capital,Circle,Series D,2016-05-13
IDG Capital,Farfetch,Series F,2016-05-04
IDG Capital,Easy Transfer,Seed,2016-04-25
IDG Capital,Animoca Brands,Post-IPO Equity,2016-04-11
IDG Capital,DataMesh,Series A,2016-04-11
IDG Capital,Kunlun Fight,Series B,2016-03-18
IDG Capital,FXiaoKe,Series E,2016-03-07
IDG Capital,Wholi,Seed,2016-03-01
IDG Capital,Inagora,Series A,2016-02-28
IDG Capital,Akulaku,Series A,2016-02-01
IDG Capital,5miles,Series B,2016-01-26
IDG Capital,100Credit,Series B,2016-01-01
IDG Capital,FXiaoKe,Series D,2015-12-29
IDG Capital,SEE Xiaodianpu,Series A,2015-12-01
IDG Capital,Hivetrips,Venture - Series Unknown,2015-11-17
IDG Capital,Fuze Game,Venture - Series Unknown,2015-10-15
IDG Capital,Waylens Inc.,Venture - Series Unknown,2015-09-23
IDG Capital,Teambition,Series B,2015-09-22
IDG Capital,Enjoy,Series C,2015-09-15
IDG Capital,Agora.io,Series B,2015-09-15
IDG Capital,Pinduoduo,Series A,2015-09-01
IDG Capital,Linjia.me,Series B,2015-08-31
IDG Capital,Royole Corporation,Series C,2015-08-18
IDG Capital,Wusong Technology,Series A,2015-08-01
IDG Capital,Keystone Technologies Inc.,Seed,2015-08-01
IDG Capital,Testin,Series B,2015-07-22
IDG Capital,Rokid,Series A,2015-07-01
IDG Capital,Shunshun Education Inc.,Series A,2015-06-12
IDG Capital,Redcore Times,Series B,2015-06-01
IDG Capital,Lianshang,Series A,2015-06-01
IDG Capital,Propel(X),Seed,2015-06-01
IDG Capital,Shunshun Education Inc.,Angel,2015-05-25
IDG Capital,Jpush,Series B,2015-05-23
IDG Capital,FraudMetrix,Series B,2015-05-21
IDG Capital,AlphaDraft,Venture - Series Unknown,2015-05-19
IDG Capital,Ripple,Series A,2015-05-19
IDG Capital,Cnano Technology,Series C,2015-04-20
IDG Capital,Kujiale,Series B,2015-04-14
IDG Capital,YCloset,Series A,2015-04-01
IDG Capital,Qingqing Jiajiao,Series B,2015-04-01
IDG Capital,Yuanfudao,Series D,2015-03-30
IDG Capital,Yuantiku,Series D,2015-03-30
IDG Capital,Artsy,Series C,2015-03-26
IDG Capital,700Bike,Series A,2015-03-26
IDG Capital,Coding,Series B,2015-03-23
IDG Capital,Akulaku,Seed,2015-03-10
IDG Capital,9F Group,Series B,2015-03-03
IDG Capital,Helijia,Series C,2015-02-18
IDG Capital,Move Loot,Series A,2015-02-10
IDG Capital,Zhaosuliao,Series A,2015-02-02
IDG Capital,BeiBei,Series C,2015-01-23
IDG Capital,Zhaogang,Series D,2015-01-21
IDG Capital,Bilibili,Series B,2015-01-14
IDG Capital,App Annie,Series D,2015-01-13
IDG Capital,NetDragon Education,Series A,2015-01-06
IDG Capital,Meitu,Series C,2014-12-31
IDG Capital,FXiaoKe,Series C,2014-12-26
IDG Capital,Yetang,Series A,2014-12-22
IDG Capital,Guokr,Series C,2014-12-22
IDG Capital,Qingsongchou Network Technology,Series A,2014-12-17
IDG Capital,Teambition,Series A,2014-12-04
IDG Capital,Loji Logistics,Series A,2014-12-01
IDG Capital,Wacai,Series B,2014-12-01
IDG Capital,HunterOn,Series B,2014-11-14
IDG Capital,Patpat,Series A,2014-11-08
IDG Capital,iCarsClub,Series B,2014-11-07
IDG Capital,PPzuche.com,Series B,2014-11-05
IDG Capital,Minus,Series A,2014-11-05
IDG Capital,SenseTime,Series A,2014-11-01
IDG Capital,Peach,Seed,2014-10-23
IDG Capital,Cloudcade,Seed,2014-10-08
IDG Capital,LeanCloud,Series A,2014-09-24
IDG Capital,Tongbanjie,Series B,2014-09-23
IDG Capital,Sobrr,Seed,2014-09-04
IDG Capital,Qingqing Jiajiao,Series A,2014-09-01
IDG Capital,Wecash,Series A,2014-09-01
IDG Capital,Meilapp.com,Series B,2014-08-25
IDG Capital,Huixiaoer,Series A,2014-08-21
IDG Capital,BeiBei,Series A,2014-08-18
