Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location
Shanghai Media Group,https://www.crunchbase.com/organization/shanghai-media-group,4,,"Shanghai, Shanghai, China"
UCAR,https://www.crunchbase.com/organization/ucar,4,,"Tianjin, Guangdong, China"
Wacai,https://www.crunchbase.com/organization/wacai,4,,"Hangzhou, Zhejiang, China"
Blue Focus PR Consulting,https://www.crunchbase.com/organization/blue-focus-pr-consulting,4,,"Beijing, Beijing, China"
Bitauto Holdings,https://www.crunchbase.com/organization/bitauto-holdings,4,,"Beijing, Beijing, China"
NetPosa Technologies,https://www.crunchbase.com/organization/beijing-netposa-technologies-co-ltd,4,1,"Beijing, Beijing, China"
Sunshine Insurance Group Co Ltd,https://www.crunchbase.com/organization/sunshine-insurance-group-co-ltd,4,,"Beijing, Beijing, China"
Hakim Unique Internet,https://www.crunchbase.com/organization/hakim-information-technology,4,,"Hangzhou, Zhejiang, China"
BOE Technology Group,https://www.crunchbase.com/organization/boe-technology-group,4,,"Beijing, Beijing, China"
LYFE Capital,https://www.crunchbase.com/organization/lyfe-capital-2,4,,"Shanghai, Shanghai, China"
Xiaolai Li,https://www.crunchbase.com/person/xiaolai-li,4,,"Beijing, Beijing, China"
Huazhu Hotels Group,https://www.crunchbase.com/organization/huazhu-hotels-group,4,1,"Shanghai, Shanghai, China"
China Bridge Capital,https://www.crunchbase.com/organization/china-bridge-capital,4,,"Beijing, Beijing, China"
HuangPu River Capital,https://www.crunchbase.com/organization/huangpu-river-capital,4,1,"Shanghai, Shanghai, China"
GoerTek Inc.,https://www.crunchbase.com/organization/goertek-inc,4,1,"Weifang, Shandong, China"
"Huatai Securities Co., Ltd.",https://www.crunchbase.com/organization/huatai-securities-co-ltd,4,,"Nanjing, Jiangsu, China"
Ben Harburg,https://www.crunchbase.com/person/ben-harburg,4,1,"Beijing, Beijing, China"
"Shanghai Venture Capital Co.,Ltd",https://www.crunchbase.com/organization/shanghai-venture-capital-co-ltd,4,1,"Shanghai, Shanghai, China"
Huaxing New Economic Fund,https://www.crunchbase.com/organization/huaxing-new-economic-fund,4,1,"Beijing, Beijing, China"
Zeus Entertainment,https://www.crunchbase.com/organization/zeus-entertainment,4,1,"Dalian, Zhejiang, China"
China Pacific Insurance,https://www.crunchbase.com/organization/china-pacific-insurance,4,,"Shanghai, Shanghai, China"
New China Capital Management,https://www.crunchbase.com/organization/new-china-capital-management,4,1,"Beijing, Beijing, China"
Tao Zhang,https://www.crunchbase.com/person/tao-zhang,4,,"Shanghai, Shanghai, China"
ShangPharma,https://www.crunchbase.com/organization/shangpharma,4,,"Shanghai, Shanghai, China"
Tsinghua Holdings,https://www.crunchbase.com/organization/tsinghua-holdings,4,2,"Beijing, Beijing, China"
Tasly Pharmaceutical,https://www.crunchbase.com/organization/tasly-pharmaceutical,4,1,"Tianjin, Guangdong, China"
Kaiwu Capital,https://www.crunchbase.com/organization/kaiwu-capital,4,,"Beijing, Beijing, China"
Victor Wang,https://www.crunchbase.com/person/wang-qiang,4,,"Beijing, Beijing, China"
Hanfor Holdings,https://www.crunchbase.com/organization/hanfor-holdings,4,,"Beijing, Beijing, China"
Share Capital Partners,https://www.crunchbase.com/organization/share-capital-partners,4,1,"Shenzhen, Guangdong, China"
LeBox Capital,https://www.crunchbase.com/organization/lebox-capital,4,,"Beijing, Beijing, China"
Richard Chen,https://www.crunchbase.com/person/richard-chen-ch,4,1,"Shanghai, Shanghai, China"
Morning Crest Capital,https://www.crunchbase.com/organization/morning-crest-capital,4,,"Huangpu, Shanghai, China"
Cloud Angel Fund,https://www.crunchbase.com/organization/cloud-angel-fund,4,,"Beijing, Beijing, China"
Shanghai Creation Investment,https://www.crunchbase.com/organization/shanghai-creation-investment-management-co-ltd,4,1,"Shanghai, Shanghai, China"
C-Bridge Capital,https://www.crunchbase.com/organization/cbridge-capital,4,1,"Shanghai, Shanghai, China"
Infotech Ventures,https://www.crunchbase.com/organization/infotech-ventures,4,2,"Shanghai, Shanghai, China"
China Soft Capital,https://www.crunchbase.com/organization/china-soft-capital,4,,"Dongcheng, Shaanxi, China"
Qifu Capital Management,https://www.crunchbase.com/organization/qifu-capital-management,4,,"Shenzhen, Guangdong, China"
Pan-Lin Asset Management,https://www.crunchbase.com/organization/pan-lin-asset-management,4,,"Shanghai, Shanghai, China"
Shanghai Alliance,https://www.crunchbase.com/organization/shanghai-alliance,4,,"Shanghai, Shanghai, China"
Leaguer Tsing-Yuan Venture Capital,https://www.crunchbase.com/organization/leaguer-tsing-yuan-venture-capital,4,1,"Shenzhen, Guangdong, China"
Cathaya Capital,https://www.crunchbase.com/organization/cathaya-capital,4,,"Shanghai, Shanghai, China"
Zero2IPO Capital,https://www.crunchbase.com/organization/zero2ipo-capital,4,1,"Beijing, Beijing, China"
iQiyi,https://www.crunchbase.com/organization/iqiyi,3,,"Beijing, Beijing, China"
DJI,https://www.crunchbase.com/organization/dji,3,1,"Shenzhen, Guangdong, China"
Qunar.com,https://www.crunchbase.com/organization/qunar-com,3,,"Beijing, Beijing, China"
WM Motor,https://www.crunchbase.com/organization/wm-motor,3,1,"Shanghai, Shanghai, China"
Youku,https://www.crunchbase.com/organization/youku,3,,"Shanghai, Shanghai, China"
Lakala,https://www.crunchbase.com/organization/lakala,3,,"Beijing, Beijing, China"
TalkingData,https://www.crunchbase.com/organization/talking-data,3,1,"Beijing, Beijing, China"
Bona Film Group,https://www.crunchbase.com/organization/bona-film-group,3,1,"Chaoyang, Liaoning, China"
Jumei,https://www.crunchbase.com/organization/jumei-com,3,1,"Beijing, Beijing, China"
Thundersoft,https://www.crunchbase.com/organization/thundersoft-company-limited,3,,"Beijing, Beijing, China"
Ourpalm,https://www.crunchbase.com/organization/ourpalm,3,1,"Beijing, Beijing, China"
Phoenix New Media,https://www.crunchbase.com/organization/phoenix-new-media,3,,"Beijing, Beijing, China"
Hua Partners,https://www.crunchbase.com/organization/hua-partners,3,,"Shenzhen, Guangdong, China"
ZTE,https://www.crunchbase.com/organization/zte-corporation,3,1,"Shenzhen, Guangdong, China"
Sumavision,https://www.crunchbase.com/organization/sumavision,3,,"Beijing, Beijing, China"
SAIC Motor,https://www.crunchbase.com/organization/saic-motor,3,,"Shanghai, Shanghai, China"
Greenland Hong Kong Holdings Limited,https://www.crunchbase.com/organization/greenland-hong-kong-holdings-limited,3,,"Shanghai, Shanghai, China"
BAIC Group,https://www.crunchbase.com/organization/baic-group,3,1,"Beijing, Beijing, China"
Baidu Video,https://www.crunchbase.com/organization/baidu-video,3,,"Beijing, Beijing, China"
Digital Finance Group,https://www.crunchbase.com/organization/digital-finance-group,3,,"Shanghai, Shanghai, China"
Shenzhen Valley Ventures,https://www.crunchbase.com/organization/shenzhen-valley-ventures,3,,"Shenzhen, Guangdong, China"
Bobby Lee,https://www.crunchbase.com/person/bobby-lee-ch,3,1,"Shanghai, Shanghai, China"
Midea Group,https://www.crunchbase.com/organization/midea-2,3,1,"Guangdong, Jilin, China"
GSR Capital,https://www.crunchbase.com/organization/gsr-capital,3,,"Beijing, Beijing, China"
He Xiaopeng,https://www.crunchbase.com/person/he-xiaopeng,3,,"Guangzhou, Guangdong, China"
Shenzhen O-film Technology,https://www.crunchbase.com/organization/shenzhen-o-film-technology,3,,"Guangming, Hunan, China"
Noah Holdings,https://www.crunchbase.com/organization/noah-holdings,3,,"Yangpu, Hainan, China"
Weixing Chen,https://www.crunchbase.com/person/weixing-chen,3,,"Hangzhou, Zhejiang, China"
CHINA.COM,https://www.crunchbase.com/organization/china-com,3,1,"Beijing, Beijing, China"
Renren Lianhe Holdings,https://www.crunchbase.com/organization/renren-lianhe-holdings,3,,"Chaoyang, Liaoning, China"
TCL Communication Technology Holdings Limited,https://www.crunchbase.com/organization/tcl-communication,3,,"Guangdong, Jilin, China"
China Science & Merchants Investment Management Group,https://www.crunchbase.com/organization/china-science-merchants-venture-capital-management,3,1,"Beijing, Beijing, China"
Suning.com,https://www.crunchbase.com/organization/suning-commerce-group,3,,"Nanjing, Jiangsu, China"
Bo Feng,https://www.crunchbase.com/person/bo-feng,3,,"Chaoyang, Liaoning, China"
Loyal Valley Capital,https://www.crunchbase.com/organization/loyal-valley-capital,3,1,"Shanghai, Shanghai, China"
Tsinghua Venture Capital,https://www.crunchbase.com/organization/tsinghua-vc,3,2,"Beijing, Beijing, China"
Ping An Bank,https://www.crunchbase.com/organization/ping-an-bank,3,2,"Guangdong, Jilin, China"
Aureos Capital,https://www.crunchbase.com/organization/aureos-capital,3,,"Qingdao Shi, Shandong, China"
Silverlink Capital,https://www.crunchbase.com/organization/silverlink-capital,3,1,"Taiwan, Jiangsu, China"
China Cinda Asset Management,https://www.crunchbase.com/organization/china-cinda-asset-management,3,,"Beijing, Beijing, China"
Bank of Beijing,https://www.crunchbase.com/organization/bank-of-beijing,3,1,"Beijing, Beijing, China"
MNC Media Investment,https://www.crunchbase.com/organization/linktone,3,,"Beijing, Beijing, China"
Jinjiang International,https://www.crunchbase.com/organization/jinjiang-international,3,2,"Shanghai, Shanghai, China"
Beijing Cultural Center Fund,https://www.crunchbase.com/organization/beijing-cultural-center-fund,3,2,"Beijing, Beijing, China"
Chenchao Zhuang,https://www.crunchbase.com/person/chen-chao-zhuang,3,,"China, Asia"
Dayang Group,https://www.crunchbase.com/organization/dayanggroup,3,,"Dalian, Zhejiang, China"
HNA Tourism Group,https://www.crunchbase.com/organization/hna-tourism-group,3,2,"Beijing, Beijing, China"
Zhong Capital Fund,https://www.crunchbase.com/organization/zhong-capital-fund,3,1,"Chaoyang, Liaoning, China"
Zhisland Capital,https://www.crunchbase.com/organization/zhisland-capital,3,,"Beijing, Beijing, China"
Trinitas Capital,https://www.crunchbase.com/organization/trinitas-capital,3,2,"Beijing, Beijing, China"
TDF Capital,https://www.crunchbase.com/organization/tdf-capital,3,2,"Pudong, Shandong, China"
China Materialia,https://www.crunchbase.com/organization/china-materialia,3,,"Shanghai, Shanghai, China"
China Gaoxin Investment Group Corp.,https://www.crunchbase.com/organization/china-gaoxin-investment-group-corp,3,1,"Beijing, Beijing, China"
Taishan XD (TXD) Ventures,https://www.crunchbase.com/organization/taishan-xd-txd-ventures,3,,"Beijing, Beijing, China"
BEIID,https://www.crunchbase.com/organization/beiid,3,1,"Beijing, Beijing, China"
Jolmo Capital Management,https://www.crunchbase.com/organization/jolmo-capital-management,3,1,"Nanjing, Jiangsu, China"
Xinhu Zhongbao Co Ltd,https://www.crunchbase.com/organization/xinhu-zhongbao,3,1,"Hangzhou, Zhejiang, China"
Acer Capital,https://www.crunchbase.com/organization/acercapital,3,2,"Taiwan, Jiangsu, China"
Yuan Zhen Capital,https://www.crunchbase.com/organization/yuan-zhen-capital,3,,"Beijing, Beijing, China"
Qiaojing Capital,https://www.crunchbase.com/organization/qiaojing-capital,3,,"Shanghai, Shanghai, China"
Hepalink,https://www.crunchbase.com/organization/hepalink,3,,"Shenzhen, Guangdong, China"
Innovation Camp,https://www.crunchbase.com/organization/innovation-camp,3,,"Shanghai, Shanghai, China"
InnoValley China,https://www.crunchbase.com/organization/innovalley-china,3,,"Shenzhen, Guangdong, China"
Hua-Yuan Group,https://www.crunchbase.com/organization/hua-yuan-group,3,1,"Xicheng, Hebei, China"
Infotech Pacific Ventures,https://www.crunchbase.com/organization/infotech-pacific-ventures,3,2,"Shanghai, Shanghai, China"
Mingly China Growth Fund,https://www.crunchbase.com/organization/mingly-china-growth-fund,3,,"Beijing, Beijing, China"
Dragonvest Partners,https://www.crunchbase.com/organization/dragonvest-partners,3,,"Shanghai, Shanghai, China"
GP Healthcare Capital,https://www.crunchbase.com/organization/gp-healthcare-capital,3,1,"Shanghai, Shanghai, China"
Huang Mingming,https://www.crunchbase.com/person/huang-mingming,3,,"Chaoyang, Liaoning, China"
Shenzhen Qianhe Capital Management,https://www.crunchbase.com/organization/shenzhen-qianhe-capital-management,3,,"Shenzhen, Guangdong, China"
Maintrend Capital,https://www.crunchbase.com/organization/maintrend-capital,3,,"Beijing, Beijing, China"
ZTEVC,https://www.crunchbase.com/organization/ztevc,3,,"Shenzhen, Guangdong, China"
Songbo Li,https://www.crunchbase.com/person/songbo-li,3,,"Changzhou, Zhejiang, China"
GuoHe Capital,https://www.crunchbase.com/organization/guohe-capital,3,,"Shanghai, Shanghai, China"
Zhejiang VIE Science and Technology Company,https://www.crunchbase.com/organization/zhejiang-vie-science-and-technology-company,3,,"Shaoxing, Zhejiang, China"
SIIC Investment,https://www.crunchbase.com/organization/siic-investment,3,2,"Shanghai, Shanghai, China"
General Technology Venture Capital,https://www.crunchbase.com/organization/general-technology-venture-capital,3,,"Beijing, Beijing, China"
Right & Sun Investment Holding Co.,https://www.crunchbase.com/organization/shenzhen-right-sun-investment-holding-co-ltd,3,,"Shenzhen, Guangdong, China"
91Capital,https://www.crunchbase.com/organization/91capital,3,,"Taiwan, Jiangsu, China"
ByteDance,https://www.crunchbase.com/organization/bytedance,2,,"Haidian, Beijing, China"
Bilibili,https://www.crunchbase.com/organization/bilibili-inc,2,,"Shanghai, Shanghai, China"
Tencent Music,https://www.crunchbase.com/organization/tencent-music-group,2,1,"Shenzhen, Guangdong, China"
Megvii Technology,https://www.crunchbase.com/organization/megvii-technology,2,,"Beijing, Beijing, China"
Huawei,https://www.crunchbase.com/organization/huawei,2,,"Shenzhen, Guangdong, China"
Yitu Technology,https://www.crunchbase.com/organization/yitu-technology,2,,"Shanghai, Shanghai, China"
Wecash,https://www.crunchbase.com/organization/wecash,2,,"Beijing, Beijing, China"
Yeahmobi,https://www.crunchbase.com/organization/yeahmobi,2,,"Xian, Hunan, China"
Coocaa,https://www.crunchbase.com/organization/coocaa,2,,"Shenzhen, Guangdong, China"
Neusoft Group,https://www.crunchbase.com/organization/neusoft,2,,"Shenyang, Liaoning, China"
MiningLamp,https://www.crunchbase.com/organization/mininglamp,2,,"Beijing, Beijing, China"
Beijing Weiying Technology,https://www.crunchbase.com/organization/beijing-weiying-technology,2,1,"Beijing, Beijing, China"
imToken,https://www.crunchbase.com/organization/imtoken,2,,"Hangzhou, Zhejiang, China"
Hundsun Technologies,https://www.crunchbase.com/organization/hundsun-technologies,2,,"Zhenjiang, Guangdong, China"
Jiguang,https://www.crunchbase.com/organization/jiguang,2,,"Shenzhen, Guangdong, China"
Xunlei,https://www.crunchbase.com/organization/kankan,2,,"Shenzhen, Guangdong, China"
58 Daojia,https://www.crunchbase.com/organization/58daojia,2,,"Beijing, Beijing, China"
Gaosi Education Group,https://www.crunchbase.com/organization/gaosi-education-group,2,,"Beijing, Beijing, China"
Le Sports,https://www.crunchbase.com/organization/le-sports,2,1,"Beijing, Beijing, China"
Dotc United Group,https://www.crunchbase.com/organization/dotc-united-group,2,,"Shanghai, Shanghai, China"
Omni Prime Inc.,https://www.crunchbase.com/organization/omni-prime-inc,2,,"Shanghai, Shanghai, China"
Tsinghua Unigroup International,https://www.crunchbase.com/organization/tsinghua-unigroup-international,2,1,"Beijing, Beijing, China"
CAR Inc.,https://www.crunchbase.com/organization/china-auto-rental-holdings,2,1,"Beijing, Beijing, China"
8btc.com,https://www.crunchbase.com/organization/8btc-com,2,,"Shanghai, Shanghai, China"
Linekong,https://www.crunchbase.com/organization/linekong,2,,"Dongguancun, Anhui, China"
Jack Ma,https://www.crunchbase.com/person/jack-ma,2,1,"Hangzhou, Zhejiang, China"
Forgame,https://www.crunchbase.com/organization/forgame,2,,"Guangzhou, Guangdong, China"
Bank of Communications,https://www.crunchbase.com/organization/bank-of-communications,2,,"Shanghai, Shanghai, China"
Zero2IPO,https://www.crunchbase.com/organization/zero2ipo,2,,"Beijing, Beijing, China"
FINUP,https://www.crunchbase.com/organization/finup,2,,"Beijing, Beijing, China"
Angel Club,https://www.crunchbase.com/organization/angel-club,2,,"Shenzhen, Guangdong, China"
KongZhong,https://www.crunchbase.com/organization/kongzhong,2,1,"Beijing, Beijing, China"
Elex Technology,https://www.crunchbase.com/organization/elex-technology,2,1,"Beijing, Beijing, China"
Hangzhou Tigermed Consulting Co,https://www.crunchbase.com/organization/hangzhou-tigermed-technology-co-ltd,2,,"Hangzhou, Zhejiang, China"
UnionPay International,https://www.crunchbase.com/organization/unionpay-international,2,1,"Shanghai, Shanghai, China"
NEO,https://www.crunchbase.com/organization/neo,2,,"Shanghai, Shanghai, China"
Duncan Turner,https://www.crunchbase.com/person/duncan-turner,2,,"Shenzhen, Guangdong, China"
Autohome,https://www.crunchbase.com/organization/autohome,2,,"Haidian, Beijing, China"
Fenqile,https://www.crunchbase.com/organization/fenqile,2,,"Shenzhen, Guangdong, China"
Contemporary Amperex Technology,https://www.crunchbase.com/organization/contemporary-amperex-technology,2,,"Ningde, Fujian, China"
NavInfo,https://www.crunchbase.com/organization/navinfo,2,,"Beijing, Beijing, China"
Jade Capital,https://www.crunchbase.com/organization/ancient-jade-capital,2,,"Beijing, Beijing, China"
Bits x Bites,https://www.crunchbase.com/organization/bits-x-bites,2,,"Shanghai, Shanghai, China"
Silk Road Fund,https://www.crunchbase.com/organization/silk-road-fund,2,,"Beijing, Beijing, China"
China Electronics Corporation (CEC),https://www.crunchbase.com/organization/china-electronics-corporation-cec,2,,"Beijing, Beijing, China"
Shou Zi Chew,https://www.crunchbase.com/person/shou-zi-chew,2,,"Haidian, Beijing, China"
GL Capital,https://www.crunchbase.com/organization/gl-capital,2,1,"Shanghai, Shanghai, China"
Hanhai Investment Inc.,https://www.crunchbase.com/organization/hanhai-investment,2,,"Beijing, Beijing, China"
Chinese Academy Of Sciences,https://www.crunchbase.com/organization/chinese-academy-of-sciences,2,1,"Beijing, Beijing, China"
AdMaster,https://www.crunchbase.com/organization/admaster,2,,"Shanghai, Shanghai, China"
Insight Capital,https://www.crunchbase.com/organization/insight-capital,2,,"Beijing, Beijing, China"
Evergrande Health Industry Group,https://www.crunchbase.com/organization/evergrande-health-industry-group,2,,"Guangzhou, Guangdong, China"
SMIC,https://www.crunchbase.com/organization/smic,2,,"Shanghai, Shanghai, China"
Ping An Capital,https://www.crunchbase.com/organization/ping-an-capital,2,,"Shanghai, Shanghai, China"
Sunny Optical Technology,https://www.crunchbase.com/organization/sunny-optical-technology,2,1,"Yuyao, Zhejiang, China"
Youzu Interactive,https://www.crunchbase.com/organization/youzu-interactive,2,,"Shanghai, Shanghai, China"
Fortune Fountain Capital,https://www.crunchbase.com/organization/fortune-fountain-capital,2,,"Beijing, Beijing, China"
Enlight Media,https://www.crunchbase.com/organization/enlight-media,2,,"Beijing, Beijing, China"
Credit China FinTech Holdings,https://www.crunchbase.com/organization/china-credit-limited-holdings,2,,"Pudong, Shandong, China"
Guotai Junan Securities,https://www.crunchbase.com/organization/guotai-junan-securities,2,1,"Shanghai, Shanghai, China"
Lucion Venture Capital,https://www.crunchbase.com/organization/lucion-venture-capital,2,,"Shandong, Fujian, China"
Amalfi Capital,https://www.crunchbase.com/organization/amalfi-capital,2,,"Shanghai, Shanghai, China"
Gaorong Capital,https://www.crunchbase.com/organization/gaorong-capital,2,,"Jingan, Shanghai, China"
Huace Film & TV,https://www.crunchbase.com/organization/huace-film-tv,2,2,"Hangzhou, Zhejiang, China"
Luye Pharma,https://www.crunchbase.com/organization/luye-pharma,2,,"Shanghai, Shanghai, China"
Tsinghua Tongfang,https://www.crunchbase.com/organization/tsinghua-tongfang,2,,"Beijing, Beijing, China"
Taiyou Fund,https://www.crunchbase.com/organization/taiyou-fund,2,,"Beijing, Beijing, China"
Wei Hopeman,https://www.crunchbase.com/person/wei-hopeman,2,,"Shanghai, Shanghai, China"
China Environmental Fund,https://www.crunchbase.com/organization/china-environmental-fund,2,,"Beijing, Beijing, China"
Bixin,https://www.crunchbase.com/organization/bixin,2,,"Shanghai, Shanghai, China"
Fang Group,https://www.crunchbase.com/organization/fanggroup,2,,"Chaoyang, Liaoning, China"
Weilai Capital,https://www.crunchbase.com/organization/weilai-capital,2,,"Shanghai, Shanghai, China"
Andrew Yan,https://www.crunchbase.com/person/andrew-y-yan,2,,"Beijing, Beijing, China"
Livzon Pharmaceutical Group,https://www.crunchbase.com/organization/livzon-pharmaceutical-group,2,,"Zhuhai, Guangdong, China"
Betta Pharmaceuticals,https://www.crunchbase.com/organization/betta-pharmaceuticals,2,,"Hangzhou, Zhejiang, China"
Dragonrise Capital,https://www.crunchbase.com/organization/dragonrise-capital,2,,"Shanghai, Shanghai, China"
Fang Fund Partners,https://www.crunchbase.com/organization/fang-fund-partners,2,1,"Chaoyang, Liaoning, China"
Jade Invest,https://www.crunchbase.com/organization/jade-invest,2,1,"Shanghai, Shanghai, China"
LongTec China Ventures,https://www.crunchbase.com/organization/longtec-china-ventures,2,,"Shanghai, Shanghai, China"
Beijing Zhongguancun Overseas Science Park Co.Ltd,https://www.crunchbase.com/organization/beijing-zhongguancun-overseas-science-park-co-ltd,2,,"Beijing, Beijing, China"
Sinopharm Group,https://www.crunchbase.com/organization/sinopharm-group,2,,"Shanghai, Shanghai, China"
ShenZhen (SZSE),https://www.crunchbase.com/organization/shenzhen,2,,"Shenzhen, Guangdong, China"
Bohai Leasing,https://www.crunchbase.com/organization/bohai-leasing,2,1,"Beijing, Beijing, China"
Leoch Battery,https://www.crunchbase.com/organization/leoch-battery,2,,"Shenzhen, Guangdong, China"
Zhongzhi Enterprise Group,https://www.crunchbase.com/organization/zhongzhi-enterprise-group,2,1,"Chaoyang, Liaoning, China"
Broadhi Capital,https://www.crunchbase.com/organization/broadhi-capital,2,,"Shanghai, Shanghai, China"
DiNovA Capital,https://www.crunchbase.com/organization/dinova-venture-partners,2,,"Shenzhen, Guangdong, China"
Hongyi Zhou,https://www.crunchbase.com/person/hongyi-zhou,2,1,"Beijing, Beijing, China"
China Ministry of Finance,https://www.crunchbase.com/organization/china-ministry-of-finance,2,,"Beijing, Beijing, China"
CSV Capital Partners,https://www.crunchbase.com/organization/china-seed-ventures,2,,"Shanghai, Shanghai, China"
SDIC Capital,https://www.crunchbase.com/organization/sdic-capital,2,,"Shanghai, Shanghai, China"
Bank of Nanjing,https://www.crunchbase.com/organization/bank-of-nanjing,2,,"Nanjing, Jiangsu, China"
Suzhou Dongshan Precision Manufacturing,https://www.crunchbase.com/organization/suzhou-dongshan-precision-manufacturing,2,,"Suzhou, Jiangsu, China"
Manzi Xue,https://www.crunchbase.com/person/manzi-xue,2,,"Beijing, Beijing, China"
Benjamin Joffe,https://www.crunchbase.com/person/benjamin-joffe,2,,"Shenzhen, Guangdong, China"
Chengdu Technology Transfer Group,https://www.crunchbase.com/organization/chengdu-technology-transfer-group,2,,"Chengdu, Sichuan, China"
RiverHill Fund,https://www.crunchbase.com/organization/riverhillfund,2,,"Hangzhou, Zhejiang, China"
Wang Sicong,https://www.crunchbase.com/person/wang-sicong,2,1,"Dalian, Zhejiang, China"
Real Power Capital,https://www.crunchbase.com/organization/real-power-capital,2,,"Xuhui, Shanghai, China"
Sunyard,https://www.crunchbase.com/organization/sunyard,2,,"Hangzhou, Zhejiang, China"
Prime Value Capital Management,https://www.crunchbase.com/organization/prime-value-capital-management,2,,"Beijing, Beijing, China"
Hanwang Technology,https://www.crunchbase.com/organization/hanwang-technology,2,,"Beijing, Beijing, China"
CMHJ Partners,https://www.crunchbase.com/organization/cmhj-partners,2,,"Shanghai, Shanghai, China"
Fortune Link,https://www.crunchbase.com/organization/fortune-link,2,,"Beijing, Beijing, China"
Heaven-Sent Capital Management,https://www.crunchbase.com/organization/heaven-sent-capital-management,2,,"Beijing, Beijing, China"
Deppon Logistics,https://www.crunchbase.com/organization/deppon-logistics,2,,"Shanghai, Shanghai, China"
HNA Capital,https://www.crunchbase.com/organization/hna-capital,2,,"Beijing, Beijing, China"
The Chinese Founders Fund,https://www.crunchbase.com/organization/the-chinese-founders-fund,2,1,"Beijing, Beijing, China"
Huiying Financial Service,https://www.crunchbase.com/organization/huiying-financial-service,2,,"Shanghai, Shanghai, China"
Shanghai Liuhe Capital,https://www.crunchbase.com/organization/shanghai-liuhe-capital,2,,"Shanghai, Shanghai, China"
Paul Wu,https://www.crunchbase.com/person/paul-wu,2,,"Taiwan, Jiangsu, China"
China-Israel Value Capital,https://www.crunchbase.com/organization/china-israel-value-capital,2,1,"Shenzhen, Guangdong, China"
Bean Capital,https://www.crunchbase.com/organization/bean-capital,2,,"Beijing, Beijing, China"
Salubris Pharmaceutical,https://www.crunchbase.com/organization/salubris-pharmaceutical,2,,"Shenzhen, Guangdong, China"
GoHigh Fund,https://www.crunchbase.com/organization/gohigh-fund,2,,"Beijing, Beijing, China"
Co-Power Venture Capital,https://www.crunchbase.com/organization/co-power-venture-capital,2,,"Shenzhen, Guangdong, China"
Govtor Capital,https://www.crunchbase.com/organization/govtor-capital,2,,"Shanghai, Shanghai, China"
Pangu Venture Capital,https://www.crunchbase.com/organization/pangu-venture-capital,2,,"Beijing, Beijing, China"
Dunan Holding Group,https://www.crunchbase.com/organization/dunan-group,2,,"Hangzhou, Zhejiang, China"
RITEK Corporation,https://www.crunchbase.com/organization/ritek-corporation,2,1,"Taiwan, Jiangsu, China"
Zhongding Power,https://www.crunchbase.com/organization/zhongding-power,2,,"Xuancheng, Anhui, China"
Everbright ReinFore,https://www.crunchbase.com/organization/everbright-reinfore,2,,"Shenzhen, Guangdong, China"
CITIC M&A Fund,https://www.crunchbase.com/organization/citic-m-a-fund,2,1,"Beijing, Beijing, China"
Aikang Group,https://www.crunchbase.com/organization/aikang-group,2,,"Beijing, Beijing, China"
Chayuan Venture Capital,https://www.crunchbase.com/organization/chayuan-venture-capital,2,,"Beijing, Beijing, China"
Huaxin Century Investment Group,https://www.crunchbase.com/organization/huaxin-century-investment-group,2,,"Beijing, Beijing, China"
Qianshi Capital,https://www.crunchbase.com/organization/qianshi-capital,2,,"Beijing, Beijing, China"
Sichuan Culture Industry Fund,https://www.crunchbase.com/organization/sichuan-culture-industry-fund,2,,"Sichuan, Gansu, China"
Touch Wood,https://www.crunchbase.com/organization/touchwood,2,,"Longhua, Guangdong, China"
Changyou Fund,https://www.crunchbase.com/organization/changyou-fund,2,,"Shijingshan, Beijing, China"
Xiangyang Yang,https://www.crunchbase.com/person/xiangyang-yang,2,,"Shenzhen, Guangdong, China"
Huayu Investment,https://www.crunchbase.com/organization/huayu-investment,2,,"Beijing, Beijing, China"
Gaojie Capital,https://www.crunchbase.com/organization/gaojie-capital,2,,"Beijing, Beijing, China"
