Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location
Eastern Bell Venture Capital,https://www.crunchbase.com/organization/eastern-bell-venture-capital,30,1,"Shanghai, Shanghai, China"
MSA Capital,https://www.crunchbase.com/organization/magic-stone-alternative,30,5,"Beijing, Beijing, China"
Oriza Holdings,https://www.crunchbase.com/organization/oriza-holdings,29,3,"Suzhou, Jiangsu, China"
Fenbushi Capital,https://www.crunchbase.com/organization/fenbushi-capital,28,,"Shanghai, Shanghai, China"
Plum Ventures,https://www.crunchbase.com/organization/plum-ventures,28,1,"Changzhou, Zhejiang, China"
Alibaba Capital Partners,https://www.crunchbase.com/organization/alibaba-capital-partners,28,6,"Hangzhou, Zhejiang, China"
Ping An Ventures,https://www.crunchbase.com/organization/ping-an-ventures,27,2,"Pudong, Shandong, China"
China Equity,https://www.crunchbase.com/organization/china-equity,27,2,"Beijing, Beijing, China"
Oriental Fortune Capital,https://www.crunchbase.com/organization/oriental-fortune-capital,26,,"Shenzhen, Guangdong, China"
CID Group,https://www.crunchbase.com/organization/cid-group,26,9,"Shanghai, Shanghai, China"
ClearVue Partners,https://www.crunchbase.com/organization/clearvue-partners,24,1,"Shanghai, Shanghai, China"
NewMargin Ventures,https://www.crunchbase.com/organization/newmargin-growth-fund,24,1,"Shanghai, Shanghai, China"
DFJ DragonFund,https://www.crunchbase.com/organization/dfj-dragonfund,23,2,"Shanghai, Shanghai, China"
Bitmain,https://www.crunchbase.com/organization/bitmain,22,,"Beijing, Beijing, China"
Plug and Play China,https://www.crunchbase.com/organization/hanhai-plug-and-play,22,,"Zhengzhou, Henan, China"
Meituan-Dianping,https://www.crunchbase.com/organization/dianping,21,1,"Beijing, Beijing, China"
China Merchants Capital,https://www.crunchbase.com/organization/china-merchants-capital,21,1,"Shenzhen, Guangdong, China"
Hony Capital,https://www.crunchbase.com/organization/hony-capital,21,4,"Beijing, Beijing, China"
01vc,https://www.crunchbase.com/organization/01vc,21,,"Shanghai, Shanghai, China"
Tsing Capital,https://www.crunchbase.com/organization/tsing-capital,21,1,"Beijing, Beijing, China"
iD TechVentures,https://www.crunchbase.com/organization/id-techventures,21,5,"Shanghai, Shanghai, China"
Aplus Capital,https://www.crunchbase.com/organization/aplus-capital,20,,"Beijing, Beijing, China"
Sky9 Capital,https://www.crunchbase.com/organization/sky9-capital,20,,"Shanghai, Shanghai, China"
Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,19,2,"Beijing, Beijing, China"
Consensus Lab,https://www.crunchbase.com/organization/consensus-lab-9e7d,19,,"Beijing, Beijing, China"
CHAIN CAPITAL,https://www.crunchbase.com/organization/chain-capital-a6f6,19,,"Shanghai, Shanghai, China"
Keytone Ventures,https://www.crunchbase.com/organization/keytone-ventures,19,5,"Beijing, Beijing, China"
Addor Capital,https://www.crunchbase.com/organization/addor-capital,19,,"Nanjing, Jiangsu, China"
WuXi AppTec,https://www.crunchbase.com/organization/wuxi-apptec,18,2,"Shanghai, Shanghai, China"
Qihoo 360 Technology,https://www.crunchbase.com/organization/qihoo-360-technology,18,2,"Beijing, Beijing, China"
Decheng Capital,https://www.crunchbase.com/organization/decheng-capital,18,4,"Shanghai, Shanghai, China"
China Merchants Bank,https://www.crunchbase.com/organization/china-merchants-bank,18,,"Shenzhen, Guangdong, China"
Cowin Capital,https://www.crunchbase.com/organization/cowin-capital,18,,"Shenzhen, Guangdong, China"
SkyChee Ventures,https://www.crunchbase.com/organization/skychee-ventures,18,,"Beijing, Beijing, China"
Bojiang Capital(BoomingStar Ventures for the US fund),https://www.crunchbase.com/organization/bojiangcapital,17,,"Shanghai, Shanghai, China"
Puhua Capital,https://www.crunchbase.com/organization/puhua-capital,17,,"Hangzhou, Zhejiang, China"
QF Capital,https://www.crunchbase.com/organization/qf-capital,17,,"Shenzhen, Guangdong, China"
Haiyin Capital,https://www.crunchbase.com/organization/haiyin-capital,17,2,"Beijing, Beijing, China"
Qingsong Fund,https://www.crunchbase.com/organization/qingsong-fund,17,,"Shenzhen, Guangdong, China"
GX Capital,https://www.crunchbase.com/organization/gx-capital,17,3,"Beijing, Beijing, China"
Ping An,https://www.crunchbase.com/organization/ping-an,16,2,"Shenzhen, Guangdong, China"
Boyu Capital,https://www.crunchbase.com/organization/boyu-capital,16,2,"Beijing, Beijing, China"
CITIC PE,https://www.crunchbase.com/organization/citic-pe,16,4,"Beijing, Beijing, China"
Highlight Capital,https://www.crunchbase.com/organization/highlight-capital-llc,16,1,"Nanjin, Jiangsu, China"
Blue Lake Capital AG,https://www.crunchbase.com/organization/blue-lake-capital-ag,16,,"Chaoyang, Liaoning, China"
Sina,https://www.crunchbase.com/organization/sina,15,1,"Shanghai, Shanghai, China"
CASH Capital,https://www.crunchbase.com/organization/cash-capital,15,,"Beijing, Beijing, China"
THG Ventures,https://www.crunchbase.com/organization/thg-ventures,15,,"Haidian, Beijing, China"
Innotech Capitals,https://www.crunchbase.com/organization/innotech-capitals,15,,"Shanghai, Shanghai, China"
Marathon Venture Partners,https://www.crunchbase.com/organization/marathon-venture-partners,15,,"Shanghai, Shanghai, China"
Kunlun,https://www.crunchbase.com/organization/kunlun,14,3,"Beijing, Beijing, China"
Ctrip,https://www.crunchbase.com/organization/ctrip,14,4,"Shanghai, Shanghai, China"
Primavera Capital Group,https://www.crunchbase.com/organization/primavera-capital,14,3,"Beijing, Beijing, China"
GP Capital,https://www.crunchbase.com/organization/gp-capital,14,,"Shanghai, Shanghai, China"
Kaitai Capital,https://www.crunchbase.com/organization/kaitai-capital,14,,"Hangzhou, Zhejiang, China"
Lenovo Capital and Incubator Group (LCIG),https://www.crunchbase.com/organization/lenovo-capital-and-incubator-group-lcig,14,1,"Beijing, Beijing, China"
IPV Capital,https://www.crunchbase.com/organization/ipv-capital,14,2,"Shanghai, Shanghai, China"
Milestone Capital China,https://www.crunchbase.com/organization/milestone-capital-china,14,3,"Shanghai, Shanghai, China"
Microsoft Accelerator Shanghai,https://www.crunchbase.com/organization/microsoft-accelerator-shanghai,14,,"Shanghai, Shanghai, China"
JD Finance,https://www.crunchbase.com/organization/jd-finance,13,,"Beijing, Beijing, China"
JRR Crypto,https://www.crunchbase.com/organization/jrr-crypto,13,,"Shanghai, Shanghai, China"
Cybernaut Venture Capital,https://www.crunchbase.com/organization/cybernaut-venture-capital,13,,"Hangzhou, Zhejiang, China"
Mustang Ventures,https://www.crunchbase.com/organization/mustang-ventures,13,7,"Shanghai, Shanghai, China"
Cheetah Mobile,https://www.crunchbase.com/organization/cheetah-mobile-2,12,1,"Beijing, Beijing, China"
Weibo,https://www.crunchbase.com/organization/weibo,12,,"Beijing, Beijing, China"
HOPU Investment Management Company,https://www.crunchbase.com/organization/hopu-fund,12,2,"Xicheng, Hebei, China"
Wu Capital,https://www.crunchbase.com/organization/wu-capital,12,1,"Beijing, Beijing, China"
Baring Private Equity Asia,https://www.crunchbase.com/organization/baring-private-equity-asia,12,4,"Shanghai, Shanghai, China"
Sumitomo Mitsui Banking Corporation,https://www.crunchbase.com/organization/sumitomo-mitsui-banking-corporation,12,2,"Shanghai, Shanghai, China"
Ivy Capital,https://www.crunchbase.com/organization/ivy-capital,12,2,"Shanghai, Shanghai, China"
China Minsheng Investment Group,https://www.crunchbase.com/organization/china-minsheng-investment-group,12,,"Shanghai, Shanghai, China"
Gopher Asset Management,https://www.crunchbase.com/organization/gopher-asset-management,12,2,"Shanghai, Shanghai, China"
Hongdao Capital,https://www.crunchbase.com/organization/hongdao-capital,12,,"Beijing, Beijing, China"
Shenzhen Cowin Venture Capital Investments,https://www.crunchbase.com/organization/shenzhen-cowin-venture-capital-investments,12,,"Shenzhen, Guangdong, China"
GF Securities,https://www.crunchbase.com/organization/gf-securities,12,1,"Guangzhou, Guangdong, China"
HNA Group,https://www.crunchbase.com/organization/hna-group,11,5,"Haikou, Hainan, China"
CreditEase,https://www.crunchbase.com/organization/creditease,11,,"Beijing, Beijing, China"
3E Bioventures,https://www.crunchbase.com/organization/3e-bioventures,11,,"Beijing, Beijing, China"
New Oriental Education & Technology,https://www.crunchbase.com/organization/new-oriental-education-technology,11,,"Haidian, Beijing, China"
Vision Knight Capital,https://www.crunchbase.com/organization/vision-knight-capital,11,,"Shanghai, Shanghai, China"
Haier Capital,https://www.crunchbase.com/organization/haier-capital,11,1,"Qingdao, Fujian, China"
AngelVest,https://www.crunchbase.com/organization/angelvest,11,,"Shanghai, Shanghai, China"
TF Capital,https://www.crunchbase.com/organization/tf-capital,11,1,"Pudong, Shandong, China"
ShenZhen GTJA Investment Group,https://www.crunchbase.com/organization/shenzhen-gtja-investment-group,11,,"Shenzhen, Guangdong, China"
Haitong International Securities Group,https://www.crunchbase.com/organization/haitong-international-securities-group,11,2,"Shanghai, Shanghai, China"
ZSVC,https://www.crunchbase.com/organization/zsvc,11,,"Beijing, Beijing, China"
PreIPO,https://www.crunchbase.com/organization/preipo,11,3,"Shanghai, Shanghai, China"
National SME Development Fund,https://www.crunchbase.com/organization/national-sme-development-fund,11,,"Shenzhen, Guangdong, China"
Share Capital,https://www.crunchbase.com/organization/share-capital,11,,"Shenzhen, Guangdong, China"
36Kr,https://www.crunchbase.com/organization/36kr,10,,"Beijing, Beijing, China"
